FileName,FullPath,StartTime,Duration,Deployment,SegStart,SegDur
TA-XTRL01_01-170827_174622.wav,/XT17_TA_RL01-01/08_2017/,170827-174622,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_174722.wav,/XT17_TA_RL01-01/08_2017/,170827-174722,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_174822.wav,/XT17_TA_RL01-01/08_2017/,170827-174822,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_174922.wav,/XT17_TA_RL01-01/08_2017/,170827-174922,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_175022.wav,/XT17_TA_RL01-01/08_2017/,170827-175022,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_175122.wav,/XT17_TA_RL01-01/08_2017/,170827-175122,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_175222.wav,/XT17_TA_RL01-01/08_2017/,170827-175222,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_175322.wav,/XT17_TA_RL01-01/08_2017/,170827-175322,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_175422.wav,/XT17_TA_RL01-01/08_2017/,170827-175422,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_175522.wav,/XT17_TA_RL01-01/08_2017/,170827-175522,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_175622.wav,/XT17_TA_RL01-01/08_2017/,170827-175622,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_175722.wav,/XT17_TA_RL01-01/08_2017/,170827-175722,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_175822.wav,/XT17_TA_RL01-01/08_2017/,170827-175822,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_175922.wav,/XT17_TA_RL01-01/08_2017/,170827-175922,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_180022.wav,/XT17_TA_RL01-01/08_2017/,170827-180022,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_180122.wav,/XT17_TA_RL01-01/08_2017/,170827-180122,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_180222.wav,/XT17_TA_RL01-01/08_2017/,170827-180222,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_180322.wav,/XT17_TA_RL01-01/08_2017/,170827-180322,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_180422.wav,/XT17_TA_RL01-01/08_2017/,170827-180422,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_180522.wav,/XT17_TA_RL01-01/08_2017/,170827-180522,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_180622.wav,/XT17_TA_RL01-01/08_2017/,170827-180622,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_180722.wav,/XT17_TA_RL01-01/08_2017/,170827-180722,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_180822.wav,/XT17_TA_RL01-01/08_2017/,170827-180822,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_180922.wav,/XT17_TA_RL01-01/08_2017/,170827-180922,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_181022.wav,/XT17_TA_RL01-01/08_2017/,170827-181022,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_181122.wav,/XT17_TA_RL01-01/08_2017/,170827-181122,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_181222.wav,/XT17_TA_RL01-01/08_2017/,170827-181222,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_181322.wav,/XT17_TA_RL01-01/08_2017/,170827-181322,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_181422.wav,/XT17_TA_RL01-01/08_2017/,170827-181422,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_181522.wav,/XT17_TA_RL01-01/08_2017/,170827-181522,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_181622.wav,/XT17_TA_RL01-01/08_2017/,170827-181622,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_181722.wav,/XT17_TA_RL01-01/08_2017/,170827-181722,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_181822.wav,/XT17_TA_RL01-01/08_2017/,170827-181822,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_181922.wav,/XT17_TA_RL01-01/08_2017/,170827-181922,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_182022.wav,/XT17_TA_RL01-01/08_2017/,170827-182022,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_182122.wav,/XT17_TA_RL01-01/08_2017/,170827-182122,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_182222.wav,/XT17_TA_RL01-01/08_2017/,170827-182222,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_182322.wav,/XT17_TA_RL01-01/08_2017/,170827-182322,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_182422.wav,/XT17_TA_RL01-01/08_2017/,170827-182422,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_182522.wav,/XT17_TA_RL01-01/08_2017/,170827-182522,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_182622.wav,/XT17_TA_RL01-01/08_2017/,170827-182622,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_182722.wav,/XT17_TA_RL01-01/08_2017/,170827-182722,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_182822.wav,/XT17_TA_RL01-01/08_2017/,170827-182822,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_182922.wav,/XT17_TA_RL01-01/08_2017/,170827-182922,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_183022.wav,/XT17_TA_RL01-01/08_2017/,170827-183022,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_183122.wav,/XT17_TA_RL01-01/08_2017/,170827-183122,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_183222.wav,/XT17_TA_RL01-01/08_2017/,170827-183222,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_183322.wav,/XT17_TA_RL01-01/08_2017/,170827-183322,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_183422.wav,/XT17_TA_RL01-01/08_2017/,170827-183422,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_183522.wav,/XT17_TA_RL01-01/08_2017/,170827-183522,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_183622.wav,/XT17_TA_RL01-01/08_2017/,170827-183622,60,XT17_TA_RL01-01,0,60
TA-XTRL01_01-170827_183722.wav,/XT17_TA_RL01-01/08_2017/,170827-183722,60,XT17_TA_RL01-01,0,60
