"FileName","FullPath","StartTime","Duration","Deployment","SegStart","SegDur","SiteID","Type"
"AU-AWCL01-121018-113000.wav","/AW12_AU_CL01/10_2012/","121018-113000",600,"AW12_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-121018-113000.wav","/AW12_AU_CL01/10_2012/","121018-113000",600,"AW12_AU_CL01",540,60,"CL1","HIGH"
"AU-AWCL01-121018-114000.wav","/AW12_AU_CL01/10_2012/","121018-114000",600,"AW12_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-121018-114000.wav","/AW12_AU_CL01/10_2012/","121018-114000",600,"AW12_AU_CL01",360,90,"CL1","HIGH"
"AU-AWCL01-121018-114000.wav","/AW12_AU_CL01/10_2012/","121018-114000",600,"AW12_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-121018-114000.wav","/AW12_AU_CL01/10_2012/","121018-114000",600,"AW12_AU_CL01",540,60,"CL1","HIGH"
"AU-AWCL01-121018-120000.wav","/AW12_AU_CL01/10_2012/","121018-120000",600,"AW12_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-121018-120000.wav","/AW12_AU_CL01/10_2012/","121018-120000",600,"AW12_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-121019-070000.wav","/AW12_AU_CL01/10_2012/","121019-070000",600,"AW12_AU_CL01",0,90,"CL1","HIGH"
"AU-AWCL01-121019-070000.wav","/AW12_AU_CL01/10_2012/","121019-070000",600,"AW12_AU_CL01",90,90,"CL1","HIGH"
"AU-AWCL01-121019-070000.wav","/AW12_AU_CL01/10_2012/","121019-070000",600,"AW12_AU_CL01",180,90,"CL1","HIGH"
"AU-AWCL01-121019-070000.wav","/AW12_AU_CL01/10_2012/","121019-070000",600,"AW12_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-121019-070000.wav","/AW12_AU_CL01/10_2012/","121019-070000",600,"AW12_AU_CL01",360,90,"CL1","HIGH"
"AU-AWCL01-121019-070000.wav","/AW12_AU_CL01/10_2012/","121019-070000",600,"AW12_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-121019-070000.wav","/AW12_AU_CL01/10_2012/","121019-070000",600,"AW12_AU_CL01",540,60,"CL1","HIGH"
"AU-AWCL01-121019-071000.wav","/AW12_AU_CL01/10_2012/","121019-071000",600,"AW12_AU_CL01",0,90,"CL1","HIGH"
"AU-AWCL01-121019-071000.wav","/AW12_AU_CL01/10_2012/","121019-071000",600,"AW12_AU_CL01",90,90,"CL1","HIGH"
"AU-AWCL01-121019-071000.wav","/AW12_AU_CL01/10_2012/","121019-071000",600,"AW12_AU_CL01",180,90,"CL1","HIGH"
"AU-AWCL01-121019-071000.wav","/AW12_AU_CL01/10_2012/","121019-071000",600,"AW12_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-121019-071000.wav","/AW12_AU_CL01/10_2012/","121019-071000",600,"AW12_AU_CL01",360,90,"CL1","HIGH"
"AU-AWCL01-121019-071000.wav","/AW12_AU_CL01/10_2012/","121019-071000",600,"AW12_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-121019-071000.wav","/AW12_AU_CL01/10_2012/","121019-071000",600,"AW12_AU_CL01",540,60,"CL1","HIGH"
"AU-AWCL01-121019-072000.wav","/AW12_AU_CL01/10_2012/","121019-072000",600,"AW12_AU_CL01",0,90,"CL1","HIGH"
"AU-AWCL01-121019-072000.wav","/AW12_AU_CL01/10_2012/","121019-072000",600,"AW12_AU_CL01",90,90,"CL1","HIGH"
"AU-AWCL01-121019-072000.wav","/AW12_AU_CL01/10_2012/","121019-072000",600,"AW12_AU_CL01",180,90,"CL1","HIGH"
"AU-AWCL01-121019-072000.wav","/AW12_AU_CL01/10_2012/","121019-072000",600,"AW12_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-121019-072000.wav","/AW12_AU_CL01/10_2012/","121019-072000",600,"AW12_AU_CL01",360,90,"CL1","HIGH"
"AU-AWCL01-121019-072000.wav","/AW12_AU_CL01/10_2012/","121019-072000",600,"AW12_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-121019-072000.wav","/AW12_AU_CL01/10_2012/","121019-072000",600,"AW12_AU_CL01",540,60,"CL1","HIGH"
"AU-AWCL01-121019-073000.wav","/AW12_AU_CL01/10_2012/","121019-073000",600,"AW12_AU_CL01",0,90,"CL1","HIGH"
"AU-AWCL01-121019-073000.wav","/AW12_AU_CL01/10_2012/","121019-073000",600,"AW12_AU_CL01",90,90,"CL1","HIGH"
"AU-AWCL01-121019-073000.wav","/AW12_AU_CL01/10_2012/","121019-073000",600,"AW12_AU_CL01",180,90,"CL1","HIGH"
"AU-AWCL01-121019-073000.wav","/AW12_AU_CL01/10_2012/","121019-073000",600,"AW12_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-121019-073000.wav","/AW12_AU_CL01/10_2012/","121019-073000",600,"AW12_AU_CL01",360,90,"CL1","HIGH"
"AU-AWCL01-121019-073000.wav","/AW12_AU_CL01/10_2012/","121019-073000",600,"AW12_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-121019-073000.wav","/AW12_AU_CL01/10_2012/","121019-073000",600,"AW12_AU_CL01",540,60,"CL1","HIGH"
"AU-AWCL01-121019-074000.wav","/AW12_AU_CL01/10_2012/","121019-074000",600,"AW12_AU_CL01",0,90,"CL1","HIGH"
"AU-AWCL01-121019-074000.wav","/AW12_AU_CL01/10_2012/","121019-074000",600,"AW12_AU_CL01",90,90,"CL1","HIGH"
"AU-AWCL01-121019-074000.wav","/AW12_AU_CL01/10_2012/","121019-074000",600,"AW12_AU_CL01",180,90,"CL1","HIGH"
"AU-AWCL01-121019-074000.wav","/AW12_AU_CL01/10_2012/","121019-074000",600,"AW12_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-121019-074000.wav","/AW12_AU_CL01/10_2012/","121019-074000",600,"AW12_AU_CL01",360,90,"CL1","HIGH"
"AU-AWCL01-121019-074000.wav","/AW12_AU_CL01/10_2012/","121019-074000",600,"AW12_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-121019-074000.wav","/AW12_AU_CL01/10_2012/","121019-074000",600,"AW12_AU_CL01",540,60,"CL1","HIGH"
"AU-AWCL01-121019-075000.wav","/AW12_AU_CL01/10_2012/","121019-075000",600,"AW12_AU_CL01",0,90,"CL1","HIGH"
"AU-AWCL01-121019-075000.wav","/AW12_AU_CL01/10_2012/","121019-075000",600,"AW12_AU_CL01",90,90,"CL1","HIGH"
"AU-AWCL01-121019-075000.wav","/AW12_AU_CL01/10_2012/","121019-075000",600,"AW12_AU_CL01",180,90,"CL1","HIGH"
"AU-AWCL01-121019-075000.wav","/AW12_AU_CL01/10_2012/","121019-075000",600,"AW12_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-121019-075000.wav","/AW12_AU_CL01/10_2012/","121019-075000",600,"AW12_AU_CL01",360,90,"CL1","HIGH"
"AU-AWCL01-121019-075000.wav","/AW12_AU_CL01/10_2012/","121019-075000",600,"AW12_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-121019-075000.wav","/AW12_AU_CL01/10_2012/","121019-075000",600,"AW12_AU_CL01",540,60,"CL1","HIGH"
