FileName,FullPath,StartTime,Duration,Deployment,SegStart,SegDur
TA-XTOE01_01-170711_181803.wav,/XT17_TA_OE01-01/07_2017/,170711-181803,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_181903.wav,/XT17_TA_OE01-01/07_2017/,170711-181903,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_182003.wav,/XT17_TA_OE01-01/07_2017/,170711-182003,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_182103.wav,/XT17_TA_OE01-01/07_2017/,170711-182103,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_182203.wav,/XT17_TA_OE01-01/07_2017/,170711-182203,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_182303.wav,/XT17_TA_OE01-01/07_2017/,170711-182303,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_182403.wav,/XT17_TA_OE01-01/07_2017/,170711-182403,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_182503.wav,/XT17_TA_OE01-01/07_2017/,170711-182503,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_182603.wav,/XT17_TA_OE01-01/07_2017/,170711-182603,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_182703.wav,/XT17_TA_OE01-01/07_2017/,170711-182703,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_182803.wav,/XT17_TA_OE01-01/07_2017/,170711-182803,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_182903.wav,/XT17_TA_OE01-01/07_2017/,170711-182903,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_183003.wav,/XT17_TA_OE01-01/07_2017/,170711-183003,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_183103.wav,/XT17_TA_OE01-01/07_2017/,170711-183103,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_183203.wav,/XT17_TA_OE01-01/07_2017/,170711-183203,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_183303.wav,/XT17_TA_OE01-01/07_2017/,170711-183303,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_183403.wav,/XT17_TA_OE01-01/07_2017/,170711-183403,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_183503.wav,/XT17_TA_OE01-01/07_2017/,170711-183503,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_183603.wav,/XT17_TA_OE01-01/07_2017/,170711-183603,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_183703.wav,/XT17_TA_OE01-01/07_2017/,170711-183703,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_183803.wav,/XT17_TA_OE01-01/07_2017/,170711-183803,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_183903.wav,/XT17_TA_OE01-01/07_2017/,170711-183903,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_184003.wav,/XT17_TA_OE01-01/07_2017/,170711-184003,60,XT17_TA_OE01-01,0,60
TA-XTOE01_01-170711_184103.wav,/XT17_TA_OE01-01/07_2017/,170711-184103,60,XT17_TA_OE01-01,0,60
