"FileName","FullPath","StartTime","Duration","Deployment","SegStart","SegDur"
"AU-XBLI01-130628-083000.wav","/XB13_AU_LI01/06_2013/","130628-083000",270,"XB13_AU_LI01",0,270
"AU-XBLI01-130628-084500.wav","/XB13_AU_LI01/06_2013/","130628-084500",270,"XB13_AU_LI01",0,270
"AU-XBLI01-130628-090000.wav","/XB13_AU_LI01/06_2013/","130628-090000",270,"XB13_AU_LI01",0,270
"AU-XBLI01-130628-091500.wav","/XB13_AU_LI01/06_2013/","130628-091500",270,"XB13_AU_LI01",0,270
"AU-XBLI01-130628-093000.wav","/XB13_AU_LI01/06_2013/","130628-093000",270,"XB13_AU_LI01",0,270
"AU-XBLI01-130628-094500.wav","/XB13_AU_LI01/06_2013/","130628-094500",270,"XB13_AU_LI01",0,270
"AU-XBLI01-130628-100000.wav","/XB13_AU_LI01/06_2013/","130628-100000",270,"XB13_AU_LI01",0,270
"AU-XBLI01-130628-101500.wav","/XB13_AU_LI01/06_2013/","130628-101500",270,"XB13_AU_LI01",0,270
"AU-XBSS01-121009-230000.wav","/XB12_AU_SS01/10_2012/","121009-230000",270,"XB12_AU_SS01",0,270
"AU-XBSS01-121009-231500.wav","/XB12_AU_SS01/10_2012/","121009-231500",270,"XB12_AU_SS01",0,270
"AU-XBSS01-121009-233000.wav","/XB12_AU_SS01/10_2012/","121009-233000",270,"XB12_AU_SS01",0,270
"AU-XBSS01-121009-234500.wav","/XB12_AU_SS01/10_2012/","121009-234500",228.39,"XB12_AU_SS01",0,228.39
"AU-XBSS01-121010-000000.wav","/XB12_AU_SS01/10_2012/","121010-000000",270,"XB12_AU_SS01",0,270
"AU-XBSS01-121010-001500.wav","/XB12_AU_SS01/10_2012/","121010-001500",270,"XB12_AU_SS01",0,270
"AU-XBSS01-121010-003000.wav","/XB12_AU_SS01/10_2012/","121010-003000",270,"XB12_AU_SS01",0,270
"AU-XBSS01-121010-004500.wav","/XB12_AU_SS01/10_2012/","121010-004500",228.39,"XB12_AU_SS01",0,228.39
"AU-XBSS01-121010-010000.wav","/XB12_AU_SS01/10_2012/","121010-010000",270,"XB12_AU_SS01",0,270
"AU-XBSS01-121010-011500.wav","/XB12_AU_SS01/10_2012/","121010-011500",270,"XB12_AU_SS01",0,270
"AU-XBSS01-121010-013000.wav","/XB12_AU_SS01/10_2012/","121010-013000",270,"XB12_AU_SS01",0,270
"AU-XBSS01-121010-014500.wav","/XB12_AU_SS01/10_2012/","121010-014500",228.39,"XB12_AU_SS01",0,228.39
"AU-XBSS01-121010-020000.wav","/XB12_AU_SS01/10_2012/","121010-020000",270,"XB12_AU_SS01",0,270
"AU-XBSS01-121010-021500.wav","/XB12_AU_SS01/10_2012/","121010-021500",270,"XB12_AU_SS01",0,270
"AU-XBSS01-121010-023000.wav","/XB12_AU_SS01/10_2012/","121010-023000",270,"XB12_AU_SS01",0,270
"AU-XBSS01-121010-024500.wav","/XB12_AU_SS01/10_2012/","121010-024500",228.39,"XB12_AU_SS01",0,228.39
"AU-XBSS01-121010-030000.wav","/XB12_AU_SS01/10_2012/","121010-030000",270,"XB12_AU_SS01",0,270
"AU-XBSS01-121010-031500.wav","/XB12_AU_SS01/10_2012/","121010-031500",270,"XB12_AU_SS01",0,270
"AU-XBSS01-121010-033000.wav","/XB12_AU_SS01/10_2012/","121010-033000",270,"XB12_AU_SS01",0,270
"AU-XBSS01-121010-034500.wav","/XB12_AU_SS01/10_2012/","121010-034500",228.39,"XB12_AU_SS01",0,228.39
"AU-XBSS01-121010-040000.wav","/XB12_AU_SS01/10_2012/","121010-040000",270,"XB12_AU_SS01",0,270
"AU-XBSS01-121010-041500.wav","/XB12_AU_SS01/10_2012/","121010-041500",270,"XB12_AU_SS01",0,270
"AU-XBSS01-121010-043000.wav","/XB12_AU_SS01/10_2012/","121010-043000",270,"XB12_AU_SS01",0,270
"AU-XBSS01-121010-044500.wav","/XB12_AU_SS01/10_2012/","121010-044500",228.39,"XB12_AU_SS01",0,228.39
"AM-XBBL01-160422-224110.wav","/XB15_AM_BL01/04_2016/","160422-224110",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160422-225610.wav","/XB15_AM_BL01/04_2016/","160422-225610",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160422-231110.wav","/XB15_AM_BL01/04_2016/","160422-231110",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160422-232610.wav","/XB15_AM_BL01/04_2016/","160422-232610",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160422-234110.wav","/XB15_AM_BL01/04_2016/","160422-234110",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160422-235610.wav","/XB15_AM_BL01/04_2016/","160422-235610",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160423-001110.wav","/XB15_AM_BL01/04_2016/","160423-001110",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160423-002610.wav","/XB15_AM_BL01/04_2016/","160423-002610",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160423-004110.wav","/XB15_AM_BL01/04_2016/","160423-004110",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160423-005610.wav","/XB15_AM_BL01/04_2016/","160423-005610",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160423-011110.wav","/XB15_AM_BL01/04_2016/","160423-011110",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160423-012610.wav","/XB15_AM_BL01/04_2016/","160423-012610",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160423-014110.wav","/XB15_AM_BL01/04_2016/","160423-014110",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160423-015610.wav","/XB15_AM_BL01/04_2016/","160423-015610",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160423-021110.wav","/XB15_AM_BL01/04_2016/","160423-021110",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160423-022610.wav","/XB15_AM_BL01/04_2016/","160423-022610",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160423-024110.wav","/XB15_AM_BL01/04_2016/","160423-024110",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160423-025610.wav","/XB15_AM_BL01/04_2016/","160423-025610",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160423-031110.wav","/XB15_AM_BL01/04_2016/","160423-031110",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160423-032610.wav","/XB15_AM_BL01/04_2016/","160423-032610",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160423-034110.wav","/XB15_AM_BL01/04_2016/","160423-034110",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160423-035610.wav","/XB15_AM_BL01/04_2016/","160423-035610",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160423-041110.wav","/XB15_AM_BL01/04_2016/","160423-041110",338.86,"XB15_AM_BL01",0,338.86
"AM-XBBL01-160423-042610.wav","/XB15_AM_BL01/04_2016/","160423-042610",338.86,"XB15_AM_BL01",0,338.86
"AM-XBCS01-190517-161501.wav","/XB18_AM_CS01/05_2019/","190517-161501",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-163001.wav","/XB18_AM_CS01/05_2019/","190517-163001",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-164501.wav","/XB18_AM_CS01/05_2019/","190517-164501",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-170001.wav","/XB18_AM_CS01/05_2019/","190517-170001",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-171501.wav","/XB18_AM_CS01/05_2019/","190517-171501",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-173001.wav","/XB18_AM_CS01/05_2019/","190517-173001",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-174501.wav","/XB18_AM_CS01/05_2019/","190517-174501",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-180001.wav","/XB18_AM_CS01/05_2019/","190517-180001",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-181501.wav","/XB18_AM_CS01/05_2019/","190517-181501",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-183001.wav","/XB18_AM_CS01/05_2019/","190517-183001",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-184501.wav","/XB18_AM_CS01/05_2019/","190517-184501",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-190001.wav","/XB18_AM_CS01/05_2019/","190517-190001",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-191501.wav","/XB18_AM_CS01/05_2019/","190517-191501",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-193001.wav","/XB18_AM_CS01/05_2019/","190517-193001",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-194501.wav","/XB18_AM_CS01/05_2019/","190517-194501",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-200001.wav","/XB18_AM_CS01/05_2019/","190517-200001",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-201501.wav","/XB18_AM_CS01/05_2019/","190517-201501",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-203001.wav","/XB18_AM_CS01/05_2019/","190517-203001",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-204501.wav","/XB18_AM_CS01/05_2019/","190517-204501",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-210001.wav","/XB18_AM_CS01/05_2019/","190517-210001",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-211501.wav","/XB18_AM_CS01/05_2019/","190517-211501",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-213001.wav","/XB18_AM_CS01/05_2019/","190517-213001",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-214501.wav","/XB18_AM_CS01/05_2019/","190517-214501",341,"XB18_AM_CS01",0,341
"AM-XBCS01-190517-220001.wav","/XB18_AM_CS01/05_2019/","190517-220001",341,"XB18_AM_CS01",0,341
"AU-XBBP01-120214-050000.wav","/XB11_AU_BP01/02_2012/","120214-050000",270,"XB11_AU_BP01",0,270
"AU-XBBP01-120214-051500.wav","/XB11_AU_BP01/02_2012/","120214-051500",270,"XB11_AU_BP01",0,270
"AU-XBBP01-120214-053000.wav","/XB11_AU_BP01/02_2012/","120214-053000",270,"XB11_AU_BP01",0,270
"AU-XBBP01-120214-054500.wav","/XB11_AU_BP01/02_2012/","120214-054500",270,"XB11_AU_BP01",0,270
"AU-XBBP01-120214-060000.wav","/XB11_AU_BP01/02_2012/","120214-060000",270,"XB11_AU_BP01",0,270
"AU-XBBP01-120214-061500.wav","/XB11_AU_BP01/02_2012/","120214-061500",270,"XB11_AU_BP01",0,270
"AU-XBBP01-120214-063000.wav","/XB11_AU_BP01/02_2012/","120214-063000",270,"XB11_AU_BP01",0,270
"AU-XBBP01-120214-064500.wav","/XB11_AU_BP01/02_2012/","120214-064500",270,"XB11_AU_BP01",0,270
"AU-XBBP01-120214-070000.wav","/XB11_AU_BP01/02_2012/","120214-070000",270,"XB11_AU_BP01",0,270
"AU-XBBP01-120214-071500.wav","/XB11_AU_BP01/02_2012/","120214-071500",270,"XB11_AU_BP01",0,270
"AU-XBBP01-120214-073000.wav","/XB11_AU_BP01/02_2012/","120214-073000",270,"XB11_AU_BP01",0,270
"AU-XBBP01-120214-074500.wav","/XB11_AU_BP01/02_2012/","120214-074500",270,"XB11_AU_BP01",0,270
"AU-XBBP01-120214-080000.wav","/XB11_AU_BP01/02_2012/","120214-080000",270,"XB11_AU_BP01",0,270
"AU-XBBP01-120214-081500.wav","/XB11_AU_BP01/02_2012/","120214-081500",270,"XB11_AU_BP01",0,270
"AU-XBBP01-120214-083000.wav","/XB11_AU_BP01/02_2012/","120214-083000",270,"XB11_AU_BP01",0,270
"AU-XBBP01-120214-084500.wav","/XB11_AU_BP01/02_2012/","120214-084500",270,"XB11_AU_BP01",0,270
"AU-XBBP01-120214-090000.wav","/XB11_AU_BP01/02_2012/","120214-090000",270,"XB11_AU_BP01",0,270
"AU-XBBP01-120214-091500.wav","/XB11_AU_BP01/02_2012/","120214-091500",270,"XB11_AU_BP01",0,270
