"FileName","FullPath","StartTime","Duration","Deployment","SegStart","SegDur","SiteID","PullID"
"AU-BSPM05-151231-210000.wav","/BS15_AU_PM05/12_2015/","151231-210000",600,"BS15_AU_PM05",0,600,"PM05",135
"AU-AWKZ01-151005-182000.wav","/AW15_AU_KZ01/10_2015/","151005-182000",600,"AW15_AU_KZ01",225,225,"KZ01",136
"AU-BSPM04-160113-030000.wav","/BS15_AU_PM04/01_2016/","160113-030000",600,"BS15_AU_PM04",0,599.9995728,"PM04",137
"AU-AWPH01-151024-173000.wav","/AW15_AU_PH01/10_2015/","151024-173000",600,"AW15_AU_PH01",0,225,"PH01",138
"AU-AWBS01-151122-182000.wav","/AW15_AU_BS01/11_2015/","151122-182000",600,"AW15_AU_BS01",450,150,"BS01",139
"AU-AWBS01-151122-183000.wav","/AW15_AU_BS01/11_2015/","151122-183000",600,"AW15_AU_BS01",0,600,"BS01",139
"AU-AWBS01-151122-184000.wav","/AW15_AU_BS01/11_2015/","151122-184000",600,"AW15_AU_BS01",0,600,"BS01",139
"AU-AWBS01-151122-185000.wav","/AW15_AU_BS01/11_2015/","151122-185000",600,"AW15_AU_BS01",0,600,"BS01",139
"AU-AWBS01-151122-190000.wav","/AW15_AU_BS01/11_2015/","151122-190000",600,"AW15_AU_BS01",0,600,"BS01",139
"AU-AWBS01-151122-191000.wav","/AW15_AU_BS01/11_2015/","151122-191000",600,"AW15_AU_BS01",0,600,"BS01",139
"AU-BSPM04-160214-201000.wav","/BS15_AU_PM04/02_2016/","160214-201000",600,"BS15_AU_PM04",225,375,"PM04",140
"AU-BSPM04-160214-202000.wav","/BS15_AU_PM04/02_2016/","160214-202000",600,"BS15_AU_PM04",0,225,"PM04",140
"AU-AWKZ01-151104-180000.wav","/AW15_AU_KZ01/11_2015/","151104-180000",600,"AW15_AU_KZ01",0,225,"KZ01",141
"AU-BSPM02_b-151107-140000.wav","/BS15_AU_PM02-b/11_2015/","151107-140000",600,"BS15_AU_PM02-b",0,375,"PM02",142
"AU-AWUN01-151013-095000.wav","/AW15_AU_UN01/10_2015/","151013-095000",600,"AW15_AU_UN01",0,225,"UN01",143
"AU-BSPM04-151020-031000.wav","/BS15_AU_PM04/10_2015/","151020-031000",600,"BS15_AU_PM04",0,225,"PM04",144
"AU-AWBS02-151217-211000.wav","/AW15_AU_BS02/12_2015/","151217-211000",600,"AW15_AU_BS02",0,600,"BS02",145
"AU-AWBS02-151217-212000.wav","/AW15_AU_BS02/12_2015/","151217-212000",600,"AW15_AU_BS02",0,450,"BS02",145
"AU-AWNM01-151016-015000.wav","/AW15_AU_NM01/10_2015/","151016-015000",600,"AW15_AU_NM01",0,600,"NM01",146
"AU-AWNM01-151016-020000.wav","/AW15_AU_NM01/10_2015/","151016-020000",600,"AW15_AU_NM01",0,600,"NM01",146
"AU-AWNM01-151016-021000.wav","/AW15_AU_NM01/10_2015/","151016-021000",600,"AW15_AU_NM01",0,600,"NM01",146
"AU-AWBS01-151122-130000.wav","/AW15_AU_BS01/11_2015/","151122-130000",600,"AW15_AU_BS01",0,599.9988403,"BS01",147
"AU-BSPM08-151121-171000.wav","/BS15_AU_PM08/11_2015/","151121-171000",600,"BS15_AU_PM08",0,225,"PM08",148
"AU-AWUN01-151202-093000.wav","/AW15_AU_UN01/12_2015/","151202-093000",600,"AW15_AU_UN01",0,450,"UN01",149
"AU-BSPM04-160126-065000.wav","/BS15_AU_PM04/01_2016/","160126-065000",600,"BS15_AU_PM04",0,600,"PM04",150
"AU-BSPM04-160126-070000.wav","/BS15_AU_PM04/01_2016/","160126-070000",600,"BS15_AU_PM04",0,600,"PM04",150
"AU-BSPM04-160126-071000.wav","/BS15_AU_PM04/01_2016/","160126-071000",600,"BS15_AU_PM04",0,600,"PM04",150
"AU-BSPM08-151223-094000.wav","/BS15_AU_PM08/12_2015/","151223-094000",600,"BS15_AU_PM08",450,150,"PM08",151
"AU-BSPM08-151223-095000.wav","/BS15_AU_PM08/12_2015/","151223-095000",600,"BS15_AU_PM08",0,225,"PM08",151
"AU-AWKZ01-151016-143000.wav","/AW15_AU_KZ01/10_2015/","151016-143000",600,"AW15_AU_KZ01",0,225,"KZ01",152
"AU-BSPM08-151020-101000.wav","/BS15_AU_PM08/10_2015/","151020-101000",600,"BS15_AU_PM08",450,150,"PM08",153
"AU-BSPM08-151020-102000.wav","/BS15_AU_PM08/10_2015/","151020-102000",600,"BS15_AU_PM08",0,225,"PM08",153
"AU-AWKZ01-151006-100000.wav","/AW15_AU_KZ01/10_2015/","151006-100000",600,"AW15_AU_KZ01",225,375,"KZ01",154
"AU-AWKZ01-151006-101000.wav","/AW15_AU_KZ01/10_2015/","151006-101000",600,"AW15_AU_KZ01",0,600,"KZ01",154
"AU-BSPM05-151215-202000.wav","/BS15_AU_PM05/12_2015/","151215-202000",600,"BS15_AU_PM05",225,225,"PM05",155
"AU-AWBS01-151125-121000.wav","/AW15_AU_BS01/11_2015/","151125-121000",600,"AW15_AU_BS01",0,600,"BS01",156
"AU-BSPM04-160115-203000.wav","/BS15_AU_PM04/01_2016/","160115-203000",600,"BS15_AU_PM04",0,225,"PM04",157
"AU-BSPM04-160211-120000.wav","/BS15_AU_PM04/02_2016/","160211-120000",600,"BS15_AU_PM04",450,150,"PM04",158
"AU-BSPM04-160211-121000.wav","/BS15_AU_PM04/02_2016/","160211-121000",600,"BS15_AU_PM04",0,225,"PM04",158
"AU-BSPM05-151214-142000.wav","/BS15_AU_PM05/12_2015/","151214-142000",600,"BS15_AU_PM05",0,450,"PM05",159
"AU-BSPM02_b-151101-135000.wav","/BS15_AU_PM02-b/11_2015/","151101-135000",600,"BS15_AU_PM02-b",225,375,"PM02",160
"AU-BSPM02_b-151101-140000.wav","/BS15_AU_PM02-b/11_2015/","151101-140000",600,"BS15_AU_PM02-b",0,150,"PM02",160
"AU-AWBS02-160206-223000.wav","/AW15_AU_BS02/02_2016/","160206-223000",600,"AW15_AU_BS02",0,225,"BS02",161
"AU-AWUN01-160104-122000.wav","/AW15_AU_UN01/01_2016/","160104-122000",600,"AW15_AU_UN01",450,150,"UN01",162
"AU-AWUN01-160104-123000.wav","/AW15_AU_UN01/01_2016/","160104-123000",600,"AW15_AU_UN01",0,225,"UN01",162
"AU-AWBS03-151015-073000.wav","/AW15_AU_BS03/10_2015/","151015-073000",600,"AW15_AU_BS03",450,150,"BS03",163
"AU-BSPM02_b-151102-043000.wav","/BS15_AU_PM02-b/11_2015/","151102-043000",600,"BS15_AU_PM02-b",0,225,"PM02",164
"AU-BSPM04-151127-210000.wav","/BS15_AU_PM04/11_2015/","151127-210000",600,"BS15_AU_PM04",0,599.9991455,"PM04",165
"AU-AWBS02-151031-091000.wav","/AW15_AU_BS02/10_2015/","151031-091000",600,"AW15_AU_BS02",225,225,"BS02",166
"AU-AWBS02-151217-063000.wav","/AW15_AU_BS02/12_2015/","151217-063000",600,"AW15_AU_BS02",0,600,"BS02",167
"AU-AWBS02-151217-064000.wav","/AW15_AU_BS02/12_2015/","151217-064000",600,"AW15_AU_BS02",0,600,"BS02",167
"AU-AWBS02-151217-065000.wav","/AW15_AU_BS02/12_2015/","151217-065000",600,"AW15_AU_BS02",0,600,"BS02",167
"AU-AWBS02-151217-070000.wav","/AW15_AU_BS02/12_2015/","151217-070000",600,"AW15_AU_BS02",0,450,"BS02",167
"AU-AWUN01-151111-134000.wav","/AW15_AU_UN01/11_2015/","151111-134000",600,"AW15_AU_UN01",0,225,"UN01",168
"AU-BSPM02_b-151112-145000.wav","/BS15_AU_PM02-b/11_2015/","151112-145000",600,"BS15_AU_PM02-b",0,375,"PM02",169
"AU-BSPM02_b-151116-031000.wav","/BS15_AU_PM02-b/11_2015/","151116-031000",600,"BS15_AU_PM02-b",225,225,"PM02",170
"AU-AWKZ01-151012-060000.wav","/AW15_AU_KZ01/10_2015/","151012-060000",600,"AW15_AU_KZ01",225,225,"KZ01",171
